pde,task,baseline,seed,train_size,num_sensors,sensor_mode,noise_level,relative_l2_input_or_coeff,relative_l2_solution,mse,mae,obs_mse,pde_residual,bc_residual,ic_residual,physics_loss,residual_mode,train_time,inference_time,inference_optimization_time,num_params,config_path,checkpoint_path,commit_hash,mask_id,dry_run,input_shape,target_shape,pred_shape,train_history
darcy,forward,fno,1,1,8,random,0.0,nan,2.812969923019409,0.0002185794000979513,0.014607585966587067,0.00023987426538951695,161.48001098632812,0.0002809152065310627,0.0,161.48028564453125,steady_dirichlet,0.9259358909912407,0.010772564972285181,0.0,669377,outputs/baselines/real_smoke/fno_darcy_forward_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]","{""train_loss"": [9.314379713032395e-05]}"
poisson,forward,deeponet,1,1,8,random,0.0,nan,6.37769889831543,0.0002048917522188276,0.013969057239592075,0.00023235907428897917,0.017145318910479546,0.00024123444745782763,-0.0,0.017386553809046745,steady_dirichlet,0.6823472940013744,0.006222595984581858,0.0,51072,outputs/baselines/real_smoke/deeponet_poisson_forward_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]","{""train_loss"": [7.220867246360285e-06]}"
darcy,sparse_solution,voronoicnn,1,1,8,random,0.0,nan,88.55125427246094,0.21660500764846802,0.375779926776886,0.6960216760635376,133562624.0,0.10507959127426147,0.0,133562624.0,steady_dirichlet,0.9490683529875241,0.022787810012232512,0.0,7775521,outputs/baselines/real_smoke/voronoicnn_darcy_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]","{""train_loss"": [0.10059720277786255]}"
poisson,sparse_solution,recfno,1,1,8,random,0.0,nan,26.926197052001953,0.0036521349102258682,0.06040322408080101,0.0036310008727014065,0.14968670904636383,0.0035181601997464895,0.0,0.15320487320423126,steady_dirichlet,0.8749756279867142,0.008847752003930509,0.0,669401,outputs/baselines/real_smoke/recfno_poisson_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]","{""train_loss"": [0.006251913029700518]}"
shallow_water,sparse_solution,senseiver,1,1,8,random,0.0,nan,0.568695068359375,0.12492498010396957,0.2967076897621155,0.1280490905046463,0.3043612539768219,0.21371348202228546,0.0,0.5180747509002686,two_level,0.833268636954017,0.013919242017436773,0.0,63235,outputs/baselines/real_smoke/senseiver_shallow_water_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,e0dd41479a54fef9,False,"[1, 3, 128, 128]","[1, 3, 128, 128]","[1, 3, 128, 128]","{""train_loss"": [0.5902905464172363]}"
helmholtz,inverse,ifno,1,1,8,random,0.0,nan,2.1249992847442627,0.11656299978494644,0.2714051902294159,0.2002762258052826,0.0792178362607956,0.0,0.0,0.0792178362607956,steady_dirichlet,1.0837600299855694,0.00909644499188289,0.0,1632611,outputs/baselines/real_smoke/ifno_helmholtz_inverse_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]","{""train_loss"": [0.24575382471084595]}"
burger,sparse_solution,pinn_sparse,1,1,8,random,0.0,nan,1.0165629386901855,0.0013897669268772006,0.03300481289625168,0.0013659466058015823,0.002577688544988632,2.8219692467246205e-06,0.002150635002180934,0.004731145687401295,full_trajectory,1.2849923223257065e-06,0.7784851340111345,0.7783370380057022,8577,outputs/baselines/real_smoke/pinn_sparse_burger_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]",{}
poisson,sparse_solution,pc_bnn,1,1,8,random,0.0,nan,20.44851303100586,0.0021062977612018585,0.04573379084467888,0.0021096039563417435,0.017462316900491714,0.0020131999626755714,0.0,0.01947551593184471,steady_dirichlet,1.4579854905605316e-06,0.18202464998466894,0.18183076899731532,25731,outputs/baselines/real_smoke/pc_bnn_poisson_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]",{}
darcy,inverse,pde_opt,1,1,8,random,0.0,nan,0.40068894624710083,14.672934532165527,1.8347214460372925,7.845210348023102e-08,21.27312469482422,1.822346540336639e-08,0.0,21.27312469482422,steady_dirichlet,1.1529773473739624e-06,0.9063445350038819,0.9062805399880745,16384,outputs/baselines/real_smoke/pde_opt_darcy_inverse_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,5f2d12abb0f14191,False,"[1, 1, 128, 128]","[1, 1, 128, 128]","[1, 1, 128, 128]",{}
shallow_water,sparse_solution,var4d,1,1,8,random,0.0,nan,0.21128803491592407,0.01724396087229252,0.08377593010663986,7.190596562622886e-08,0.5236712098121643,0.29329714179039,0.0,0.8169683218002319,two_level,2.3100292310118675e-06,0.9646328000235371,0.9637029219884425,540672,outputs/baselines/real_smoke/var4d_shallow_water_sparse_solution_seed1_config.json,,60011dfbf70d191d118eeb06c746423436a6de78,e0dd41479a54fef9,False,"[1, 3, 128, 128]","[1, 3, 128, 128]","[1, 3, 128, 128]",{}
