pde,task,baseline,seed,train_size,num_sensors,sensor_mode,noise_level,relative_l2_input_or_coeff,relative_l2_solution,mse,mae,obs_mse,pde_residual,bc_residual,ic_residual,physics_loss,residual_mode,train_time,inference_time,inference_optimization_time,num_params,config_path,checkpoint_path,commit_hash,mask_id,dry_run,input_shape,target_shape,pred_shape,train_history
darcy,forward,fno,1,4,50,random,0.0,nan,1.0006297826766968,1.0132899284362793,0.8139868378639221,1.1340980529785156,1.0387578010559082,0.0017875793855637312,-0.0,1.0405453443527222,steady_dirichlet,1.159030944108963e-06,0.011685524019412696,0.0,667713,outputs/baselines/smoke/fno_darcy_forward_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
poisson,forward,deeponet,1,4,50,random,0.0,nan,1.0000334978103638,1.0121108293533325,0.8129152059555054,1.1175895929336548,0.9846975207328796,1.315563713433221e-05,0.0,0.984710693359375,steady_dirichlet,9.409850463271141e-07,0.0025098430342040956,0.0,56448,outputs/baselines/smoke/deeponet_poisson_forward_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
darcy,sparse_solution,voronoicnn,1,4,50,random,0.0,nan,1.0001400709152222,1.0123317241668701,0.8128431439399719,1.1148430109024048,1.0273947715759277,0.00015379709657281637,0.0,1.0275485515594482,steady_dirichlet,1.1530355550348759e-06,0.006758283998351544,0.0,298129,outputs/baselines/smoke/voronoicnn_darcy_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
poisson,sparse_solution,recfno,1,4,50,random,0.0,nan,1.0030065774917603,1.0180857181549072,0.8163323998451233,1.1548842191696167,2.1919965744018555,0.006953769829124212,-0.0,2.1989502906799316,steady_dirichlet,1.3840035535395145e-06,0.012383586028590798,0.0,667737,outputs/baselines/smoke/recfno_poisson_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
shallow_water,sparse_solution,senseiver,1,4,50,random,0.0,nan,1.0477962493896484,2.0656871795654297,1.2064353227615356,1.8831819295883179,1565138.625,2.701799154281616,0.0,1565141.375,two_level,7.289927452802658e-07,0.006412951974198222,0.0,63235,outputs/baselines/smoke/senseiver_shallow_water_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,3d26a20ef95f09fd,True,"[2, 3, 32, 32]","[2, 3, 32, 32]","[2, 3, 32, 32]",{}
helmholtz,inverse,ifno,1,4,50,random,0.0,nan,4326.107421875,25064574.0,328.0558776855469,16378691.0,52835140.0,0.8332539796829224,-0.0,52835140.0,steady_dirichlet,8.899951353669167e-07,0.011181601032149047,0.0,1632611,outputs/baselines/smoke/ifno_helmholtz_inverse_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
burger,sparse_solution,pinn_sparse,1,4,50,random,0.0,nan,1.0030677318572998,1.008671760559082,0.7993125319480896,1.1431866884231567,0.0009866763139143586,3.575173468561843e-05,0.6654094457626343,0.6664318442344666,full_trajectory,5.630427040159702e-07,0.794735180970747,0.7946553450310603,8577,outputs/baselines/smoke/pinn_sparse_burger_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
poisson,sparse_solution,pc_bnn,1,4,50,random,0.0,nan,1.000278353691101,1.0125988721847534,0.8126332759857178,1.1200804710388184,0.9850244522094727,0.0027562789618968964,-0.0,0.987780749797821,steady_dirichlet,1.3660173863172531e-06,0.08814586099470034,0.08791921701049432,25731,outputs/baselines/smoke/pc_bnn_poisson_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
darcy,inverse,pde_opt,1,4,50,random,0.0,nan,1.4179925918579102,1.9598637819290161,1.0867596864700317,8.999967349154758e-07,1037448.5625,0.8332539796829224,0.0,1037449.375,steady_dirichlet,1.061009243130684e-06,0.7570595520082861,0.756992022972554,1024,outputs/baselines/smoke/pde_opt_darcy_inverse_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,86e7ebca042519f9,True,"[2, 1, 32, 32]","[2, 1, 32, 32]","[2, 1, 32, 32]",{}
shallow_water,sparse_solution,var4d,1,4,50,random,0.0,nan,0.8645458221435547,1.4080867767333984,0.8878581523895264,9.922015351548907e-07,13.683987617492676,5.384939670562744,0.0,19.068927764892578,two_level,6.100162863731384e-07,0.7534958990290761,0.753341706993524,33792,outputs/baselines/smoke/var4d_shallow_water_sparse_solution_seed1_config.json,,3c660ce93a847d088218e2d0201ee69ee3587176,3d26a20ef95f09fd,True,"[2, 3, 32, 32]","[2, 3, 32, 32]","[2, 3, 32, 32]",{}
