run_id	run_name	task_group	task	pde	baseline	seed	train_size	val_size	test_size	train_shards	num_sensors	sensor_mode	noise_level	scalar_param_mode	data_loading_mode	load_full_trajectory	batch_size	epochs	steps	refine_steps	particles	device	config	output_dir	log_dir	status_file	skip_reason
full_forward_fno_darcy_s1_1b3d305941f5	full_forward/fno/darcy/seed=1	full_forward	forward	darcy	fno	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s1_1b3d305941f5	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_darcy_s1_1b3d305941f5	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s1_1b3d305941f5/run.status.json	
full_forward_fno_darcy_s2_ab9ab2efd2e3	full_forward/fno/darcy/seed=2	full_forward	forward	darcy	fno	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s2_ab9ab2efd2e3	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_darcy_s2_ab9ab2efd2e3	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s2_ab9ab2efd2e3/run.status.json	
full_forward_fno_darcy_s3_9ba7b1abab3c	full_forward/fno/darcy/seed=3	full_forward	forward	darcy	fno	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s3_9ba7b1abab3c	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_darcy_s3_9ba7b1abab3c	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=fno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_darcy_s3_9ba7b1abab3c/run.status.json	
full_forward_deeponet_darcy_s1_bd9ded1ca5de	full_forward/deeponet/darcy/seed=1	full_forward	forward	darcy	deeponet	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s1_bd9ded1ca5de	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_darcy_s1_bd9ded1ca5de	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s1_bd9ded1ca5de/run.status.json	
full_forward_deeponet_darcy_s2_86b5e03ba49f	full_forward/deeponet/darcy/seed=2	full_forward	forward	darcy	deeponet	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s2_86b5e03ba49f	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_darcy_s2_86b5e03ba49f	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s2_86b5e03ba49f/run.status.json	
full_forward_deeponet_darcy_s3_9a1da10e7c40	full_forward/deeponet/darcy/seed=3	full_forward	forward	darcy	deeponet	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s3_9a1da10e7c40	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_darcy_s3_9a1da10e7c40	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=deeponet/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_darcy_s3_9a1da10e7c40/run.status.json	
full_forward_ifno_darcy_s1_0a5f4367255e	full_forward/ifno/darcy/seed=1	full_forward	forward	darcy	ifno	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s1_0a5f4367255e	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_darcy_s1_0a5f4367255e	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s1_0a5f4367255e/run.status.json	
full_forward_ifno_darcy_s2_199bca869410	full_forward/ifno/darcy/seed=2	full_forward	forward	darcy	ifno	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s2_199bca869410	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_darcy_s2_199bca869410	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s2_199bca869410/run.status.json	
full_forward_ifno_darcy_s3_dccde3eee6fa	full_forward/ifno/darcy/seed=3	full_forward	forward	darcy	ifno	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s3_dccde3eee6fa	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_darcy_s3_dccde3eee6fa	outputs/baselines_large/runs/task_group=full_forward/pde=darcy/baseline=ifno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_darcy_s3_dccde3eee6fa/run.status.json	
full_forward_fno_poisson_s1_b63d0d224e9e	full_forward/fno/poisson/seed=1	full_forward	forward	poisson	fno	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s1_b63d0d224e9e	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_poisson_s1_b63d0d224e9e	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s1_b63d0d224e9e/run.status.json	
full_forward_fno_poisson_s2_9c5df0c1ab69	full_forward/fno/poisson/seed=2	full_forward	forward	poisson	fno	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s2_9c5df0c1ab69	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_poisson_s2_9c5df0c1ab69	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s2_9c5df0c1ab69/run.status.json	
full_forward_fno_poisson_s3_78038c89ed6c	full_forward/fno/poisson/seed=3	full_forward	forward	poisson	fno	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s3_78038c89ed6c	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_poisson_s3_78038c89ed6c	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=fno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_poisson_s3_78038c89ed6c/run.status.json	
full_forward_deeponet_poisson_s1_593c230b886a	full_forward/deeponet/poisson/seed=1	full_forward	forward	poisson	deeponet	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s1_593c230b886a	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_poisson_s1_593c230b886a	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s1_593c230b886a/run.status.json	
full_forward_deeponet_poisson_s2_45b07e549975	full_forward/deeponet/poisson/seed=2	full_forward	forward	poisson	deeponet	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s2_45b07e549975	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_poisson_s2_45b07e549975	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s2_45b07e549975/run.status.json	
full_forward_deeponet_poisson_s3_fe38857d46e0	full_forward/deeponet/poisson/seed=3	full_forward	forward	poisson	deeponet	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s3_fe38857d46e0	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_deeponet_poisson_s3_fe38857d46e0	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=deeponet/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_deeponet_poisson_s3_fe38857d46e0/run.status.json	
full_forward_ifno_poisson_s1_4ecb068917af	full_forward/ifno/poisson/seed=1	full_forward	forward	poisson	ifno	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s1_4ecb068917af	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_poisson_s1_4ecb068917af	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s1_4ecb068917af/run.status.json	
full_forward_ifno_poisson_s2_76e9490fe963	full_forward/ifno/poisson/seed=2	full_forward	forward	poisson	ifno	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s2_76e9490fe963	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_poisson_s2_76e9490fe963	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s2_76e9490fe963/run.status.json	
full_forward_ifno_poisson_s3_c3564a489a3f	full_forward/ifno/poisson/seed=3	full_forward	forward	poisson	ifno	3	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s3_c3564a489a3f	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_ifno_poisson_s3_c3564a489a3f	outputs/baselines_large/runs/task_group=full_forward/pde=poisson/baseline=ifno/task=forward/seed=3/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_ifno_poisson_s3_c3564a489a3f/run.status.json	
full_forward_fno_helmholtz_s1_631e41f67576	full_forward/fno/helmholtz/seed=1	full_forward	forward	helmholtz	fno	1	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=helmholtz/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_helmholtz_s1_631e41f67576	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_helmholtz_s1_631e41f67576	outputs/baselines_large/runs/task_group=full_forward/pde=helmholtz/baseline=fno/task=forward/seed=1/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_helmholtz_s1_631e41f67576/run.status.json	
full_forward_fno_helmholtz_s2_64cf949a66ab	full_forward/fno/helmholtz/seed=2	full_forward	forward	helmholtz	fno	2	50000	0	1000	5	0	none	0.0	metadata	lazy	False	16	200	0	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=full_forward/pde=helmholtz/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_helmholtz_s2_64cf949a66ab	outputs/baselines_large/logs/task_group=full_forward/run=full_forward_fno_helmholtz_s2_64cf949a66ab	outputs/baselines_large/runs/task_group=full_forward/pde=helmholtz/baseline=fno/task=forward/seed=2/sensors=0/mode=none/noise=0/scalar=metadata/run=full_forward_fno_helmholtz_s2_64cf949a66ab/run.status.json	
