run_id	run_name	task_group	task	pde	baseline	seed	train_size	val_size	test_size	train_shards	num_sensors	sensor_mode	noise_level	scalar_param_mode	data_loading_mode	load_full_trajectory	batch_size	epochs	steps	refine_steps	particles	device	config	output_dir	log_dir	status_file	skip_reason
time_varying_var4d_nsnonbounded_s1_ea74c66c26e7	time_varying/var4d/nsnonbounded/seed=1/sensors=50/time_varying/noise=0.0	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	50	time_varying	0.0	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_ea74c66c26e7	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_ea74c66c26e7	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_ea74c66c26e7/run.status.json	
time_varying_var4d_nsnonbounded_s1_47229c8b243c	time_varying/var4d/nsnonbounded/seed=1/sensors=50/time_varying/noise=0.01	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	50	time_varying	0.01	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_47229c8b243c	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_47229c8b243c	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_47229c8b243c/run.status.json	
time_varying_var4d_nsnonbounded_s1_bf412e1b2b02	time_varying/var4d/nsnonbounded/seed=1/sensors=50/time_varying/noise=0.05	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	50	time_varying	0.05	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_bf412e1b2b02	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_bf412e1b2b02	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=50/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_bf412e1b2b02/run.status.json	
time_varying_var4d_nsnonbounded_s1_43e27ee207f5	time_varying/var4d/nsnonbounded/seed=1/sensors=100/time_varying/noise=0.0	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	100	time_varying	0.0	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_43e27ee207f5	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_43e27ee207f5	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_43e27ee207f5/run.status.json	
time_varying_var4d_nsnonbounded_s1_04be9904931e	time_varying/var4d/nsnonbounded/seed=1/sensors=100/time_varying/noise=0.01	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	100	time_varying	0.01	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_04be9904931e	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_04be9904931e	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_04be9904931e/run.status.json	
time_varying_var4d_nsnonbounded_s1_8e5a8d4df4a3	time_varying/var4d/nsnonbounded/seed=1/sensors=100/time_varying/noise=0.05	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	100	time_varying	0.05	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_8e5a8d4df4a3	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_8e5a8d4df4a3	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=100/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_8e5a8d4df4a3/run.status.json	
time_varying_var4d_nsnonbounded_s1_8a8b5bf9435a	time_varying/var4d/nsnonbounded/seed=1/sensors=250/time_varying/noise=0.0	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	250	time_varying	0.0	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_8a8b5bf9435a	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_8a8b5bf9435a	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_8a8b5bf9435a/run.status.json	
time_varying_var4d_nsnonbounded_s1_49af403deaba	time_varying/var4d/nsnonbounded/seed=1/sensors=250/time_varying/noise=0.01	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	250	time_varying	0.01	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_49af403deaba	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_49af403deaba	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0_01/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_49af403deaba/run.status.json	
time_varying_var4d_nsnonbounded_s1_a84ed7fd6440	time_varying/var4d/nsnonbounded/seed=1/sensors=250/time_varying/noise=0.05	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	250	time_varying	0.05	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_a84ed7fd6440	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_a84ed7fd6440	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=250/mode=time_varying/noise=0_05/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_a84ed7fd6440/run.status.json	
time_varying_var4d_nsnonbounded_s1_6ab0c0edb0e9	time_varying/var4d/nsnonbounded/seed=1/sensors=500/time_varying/noise=0.0	time_varying	sparse_solution	nsnonbounded	var4d	1	50000	0	1000	5	500	time_varying	0.0	metadata	lazy	True	1	1	500	0	0	cuda	baselines/configs/paper.yaml	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=500/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_6ab0c0edb0e9	outputs/baselines_large/logs/task_group=time_varying/run=time_varying_var4d_nsnonbounded_s1_6ab0c0edb0e9	outputs/baselines_large/runs/task_group=time_varying/pde=nsnonbounded/baseline=var4d/task=sparse_solution/seed=1/sensors=500/mode=time_varying/noise=0/scalar=metadata/run=time_varying_var4d_nsnonbounded_s1_6ab0c0edb0e9/run.status.json	
