task_group,pde,baseline,status,count
full_forward,advection_diffusion,deeponet,pending,3
full_forward,advection_diffusion,fno,pending,3
full_forward,advection_diffusion,ifno,pending,3
full_forward,burger,deeponet,pending,3
full_forward,burger,fno,pending,3
full_forward,burger,ifno,pending,3
full_forward,darcy,deeponet,pending,3
full_forward,darcy,fno,pending,3
full_forward,darcy,ifno,pending,3
full_forward,heat,deeponet,pending,3
full_forward,heat,fno,pending,3
full_forward,heat,ifno,pending,3
full_forward,helmholtz,deeponet,pending,3
full_forward,helmholtz,fno,pending,3
full_forward,helmholtz,ifno,pending,3
full_forward,nsnonbounded,deeponet,pending,3
full_forward,nsnonbounded,fno,pending,3
full_forward,nsnonbounded,ifno,pending,3
full_forward,poisson,deeponet,pending,3
full_forward,poisson,fno,pending,3
full_forward,poisson,ifno,pending,3
full_forward,reaction_diffusion,deeponet,pending,3
full_forward,reaction_diffusion,fno,pending,3
full_forward,reaction_diffusion,ifno,pending,3
full_forward,shallow_water,deeponet,pending,3
full_forward,shallow_water,fno,pending,3
full_forward,shallow_water,ifno,pending,3
full_forward,steady_heat_conduction,deeponet,pending,3
full_forward,steady_heat_conduction,fno,pending,3
full_forward,steady_heat_conduction,ifno,pending,3
full_forward,wave,deeponet,pending,3
full_forward,wave,fno,pending,3
full_forward,wave,ifno,pending,3
full_inverse,advection_diffusion,deeponet,pending,3
full_inverse,advection_diffusion,fno,pending,3
full_inverse,advection_diffusion,ifno,pending,3
full_inverse,burger,deeponet,pending,3
full_inverse,burger,fno,pending,3
full_inverse,burger,ifno,pending,3
full_inverse,darcy,deeponet,pending,3
full_inverse,darcy,fno,pending,3
full_inverse,darcy,ifno,pending,3
full_inverse,heat,deeponet,pending,3
full_inverse,heat,fno,pending,3
full_inverse,heat,ifno,pending,3
full_inverse,helmholtz,deeponet,pending,3
full_inverse,helmholtz,fno,pending,3
full_inverse,helmholtz,ifno,pending,3
full_inverse,nsnonbounded,deeponet,pending,3
full_inverse,nsnonbounded,fno,pending,3
full_inverse,nsnonbounded,ifno,pending,3
full_inverse,poisson,deeponet,pending,3
full_inverse,poisson,fno,pending,3
full_inverse,poisson,ifno,pending,3
full_inverse,reaction_diffusion,deeponet,pending,3
full_inverse,reaction_diffusion,fno,pending,3
full_inverse,reaction_diffusion,ifno,pending,3
full_inverse,shallow_water,deeponet,pending,3
full_inverse,shallow_water,fno,pending,3
full_inverse,shallow_water,ifno,pending,3
full_inverse,steady_heat_conduction,deeponet,pending,3
full_inverse,steady_heat_conduction,fno,pending,3
full_inverse,steady_heat_conduction,ifno,pending,3
full_inverse,wave,deeponet,pending,3
full_inverse,wave,fno,pending,3
full_inverse,wave,ifno,pending,3
sparse_inverse,advection_diffusion,deeponet,pending,135
sparse_inverse,advection_diffusion,fno,pending,135
sparse_inverse,advection_diffusion,recfno,pending,135
sparse_inverse,advection_diffusion,senseiver,pending,135
sparse_inverse,advection_diffusion,voronoicnn,pending,135
sparse_inverse,burger,deeponet,pending,135
sparse_inverse,burger,fno,pending,135
sparse_inverse,burger,recfno,pending,135
sparse_inverse,burger,senseiver,pending,135
sparse_inverse,burger,voronoicnn,pending,135
sparse_inverse,darcy,deeponet,pending,135
sparse_inverse,darcy,fno,pending,135
sparse_inverse,darcy,recfno,pending,135
sparse_inverse,darcy,senseiver,pending,135
sparse_inverse,darcy,voronoicnn,pending,135
sparse_inverse,heat,deeponet,pending,135
sparse_inverse,heat,fno,pending,135
sparse_inverse,heat,recfno,pending,135
sparse_inverse,heat,senseiver,pending,135
sparse_inverse,heat,voronoicnn,pending,135
sparse_inverse,helmholtz,deeponet,pending,135
sparse_inverse,helmholtz,fno,pending,135
sparse_inverse,helmholtz,recfno,pending,135
sparse_inverse,helmholtz,senseiver,pending,135
sparse_inverse,helmholtz,voronoicnn,pending,135
sparse_inverse,nsnonbounded,deeponet,pending,135
sparse_inverse,nsnonbounded,fno,pending,135
sparse_inverse,nsnonbounded,recfno,pending,135
sparse_inverse,nsnonbounded,senseiver,pending,135
sparse_inverse,nsnonbounded,voronoicnn,pending,135
sparse_inverse,poisson,deeponet,pending,135
sparse_inverse,poisson,fno,pending,135
sparse_inverse,poisson,recfno,pending,135
sparse_inverse,poisson,senseiver,pending,135
sparse_inverse,poisson,voronoicnn,pending,135
sparse_inverse,reaction_diffusion,deeponet,pending,135
sparse_inverse,reaction_diffusion,fno,pending,135
sparse_inverse,reaction_diffusion,recfno,pending,135
sparse_inverse,reaction_diffusion,senseiver,pending,135
sparse_inverse,reaction_diffusion,voronoicnn,pending,135
sparse_inverse,shallow_water,deeponet,pending,135
sparse_inverse,shallow_water,fno,pending,135
sparse_inverse,shallow_water,recfno,pending,135
sparse_inverse,shallow_water,senseiver,pending,135
sparse_inverse,shallow_water,voronoicnn,pending,135
sparse_inverse,steady_heat_conduction,deeponet,pending,135
sparse_inverse,steady_heat_conduction,fno,pending,135
sparse_inverse,steady_heat_conduction,recfno,pending,135
sparse_inverse,steady_heat_conduction,senseiver,pending,135
sparse_inverse,steady_heat_conduction,voronoicnn,pending,135
sparse_inverse,wave,deeponet,pending,135
sparse_inverse,wave,fno,pending,135
sparse_inverse,wave,recfno,pending,135
sparse_inverse,wave,senseiver,pending,135
sparse_inverse,wave,voronoicnn,pending,135
sparse_solution_amortized,advection_diffusion,deeponet,pending,135
sparse_solution_amortized,advection_diffusion,fno,pending,135
sparse_solution_amortized,advection_diffusion,recfno,pending,135
sparse_solution_amortized,advection_diffusion,senseiver,pending,135
sparse_solution_amortized,advection_diffusion,voronoicnn,pending,135
sparse_solution_amortized,burger,deeponet,pending,135
sparse_solution_amortized,burger,fno,pending,135
sparse_solution_amortized,burger,recfno,pending,135
sparse_solution_amortized,burger,senseiver,pending,135
sparse_solution_amortized,burger,voronoicnn,pending,135
sparse_solution_amortized,darcy,deeponet,pending,135
sparse_solution_amortized,darcy,fno,pending,135
sparse_solution_amortized,darcy,recfno,pending,135
sparse_solution_amortized,darcy,senseiver,pending,135
sparse_solution_amortized,darcy,voronoicnn,pending,135
sparse_solution_amortized,heat,deeponet,pending,135
sparse_solution_amortized,heat,fno,pending,135
sparse_solution_amortized,heat,recfno,pending,135
sparse_solution_amortized,heat,senseiver,pending,135
sparse_solution_amortized,heat,voronoicnn,pending,135
sparse_solution_amortized,helmholtz,deeponet,pending,135
sparse_solution_amortized,helmholtz,fno,pending,135
sparse_solution_amortized,helmholtz,recfno,pending,135
sparse_solution_amortized,helmholtz,senseiver,pending,135
sparse_solution_amortized,helmholtz,voronoicnn,pending,135
sparse_solution_amortized,nsnonbounded,deeponet,pending,135
sparse_solution_amortized,nsnonbounded,fno,pending,135
sparse_solution_amortized,nsnonbounded,recfno,pending,135
sparse_solution_amortized,nsnonbounded,senseiver,pending,135
sparse_solution_amortized,nsnonbounded,voronoicnn,pending,135
sparse_solution_amortized,poisson,deeponet,pending,135
sparse_solution_amortized,poisson,fno,pending,135
sparse_solution_amortized,poisson,recfno,pending,135
sparse_solution_amortized,poisson,senseiver,pending,135
sparse_solution_amortized,poisson,voronoicnn,pending,135
sparse_solution_amortized,reaction_diffusion,deeponet,pending,135
sparse_solution_amortized,reaction_diffusion,fno,pending,135
sparse_solution_amortized,reaction_diffusion,recfno,pending,135
sparse_solution_amortized,reaction_diffusion,senseiver,pending,135
sparse_solution_amortized,reaction_diffusion,voronoicnn,pending,135
sparse_solution_amortized,shallow_water,deeponet,pending,135
sparse_solution_amortized,shallow_water,fno,pending,135
sparse_solution_amortized,shallow_water,recfno,pending,135
sparse_solution_amortized,shallow_water,senseiver,pending,135
sparse_solution_amortized,shallow_water,voronoicnn,pending,135
sparse_solution_amortized,steady_heat_conduction,deeponet,pending,135
sparse_solution_amortized,steady_heat_conduction,fno,pending,135
sparse_solution_amortized,steady_heat_conduction,recfno,pending,135
sparse_solution_amortized,steady_heat_conduction,senseiver,pending,135
sparse_solution_amortized,steady_heat_conduction,voronoicnn,pending,135
sparse_solution_amortized,wave,deeponet,pending,135
sparse_solution_amortized,wave,fno,pending,135
sparse_solution_amortized,wave,recfno,pending,135
sparse_solution_amortized,wave,senseiver,pending,135
sparse_solution_amortized,wave,voronoicnn,pending,135
sparse_solution_physics,advection_diffusion,pc_bnn,pending,135
sparse_solution_physics,advection_diffusion,pde_opt,pending,135
sparse_solution_physics,advection_diffusion,pinn_sparse,pending,135
sparse_solution_physics,advection_diffusion,var4d,pending,135
sparse_solution_physics,advection_diffusion,vivid,pending,135
sparse_solution_physics,burger,pc_bnn,pending,135
sparse_solution_physics,burger,pde_opt,pending,135
sparse_solution_physics,burger,pinn_sparse,pending,135
sparse_solution_physics,burger,var4d,pending,135
sparse_solution_physics,burger,vivid,pending,135
sparse_solution_physics,darcy,pc_bnn,pending,135
sparse_solution_physics,darcy,pde_opt,pending,135
sparse_solution_physics,darcy,pinn_sparse,pending,135
sparse_solution_physics,heat,pc_bnn,pending,135
sparse_solution_physics,heat,pde_opt,pending,135
sparse_solution_physics,heat,pinn_sparse,pending,135
sparse_solution_physics,heat,var4d,pending,135
sparse_solution_physics,heat,vivid,pending,135
sparse_solution_physics,helmholtz,pc_bnn,pending,135
sparse_solution_physics,helmholtz,pde_opt,pending,135
sparse_solution_physics,helmholtz,pinn_sparse,pending,135
sparse_solution_physics,nsnonbounded,pc_bnn,pending,135
sparse_solution_physics,nsnonbounded,pde_opt,pending,135
sparse_solution_physics,nsnonbounded,pinn_sparse,pending,135
sparse_solution_physics,nsnonbounded,var4d,pending,135
sparse_solution_physics,nsnonbounded,vivid,pending,135
sparse_solution_physics,poisson,pc_bnn,pending,135
sparse_solution_physics,poisson,pde_opt,pending,135
sparse_solution_physics,poisson,pinn_sparse,pending,135
sparse_solution_physics,reaction_diffusion,pc_bnn,pending,135
sparse_solution_physics,reaction_diffusion,pde_opt,pending,135
sparse_solution_physics,reaction_diffusion,pinn_sparse,pending,135
sparse_solution_physics,reaction_diffusion,var4d,pending,135
sparse_solution_physics,reaction_diffusion,vivid,pending,135
sparse_solution_physics,shallow_water,pc_bnn,pending,135
sparse_solution_physics,shallow_water,pde_opt,pending,135
sparse_solution_physics,shallow_water,pinn_sparse,pending,135
sparse_solution_physics,shallow_water,var4d,pending,135
sparse_solution_physics,shallow_water,vivid,pending,135
sparse_solution_physics,steady_heat_conduction,pc_bnn,pending,135
sparse_solution_physics,steady_heat_conduction,pde_opt,pending,135
sparse_solution_physics,steady_heat_conduction,pinn_sparse,pending,135
sparse_solution_physics,wave,pc_bnn,pending,135
sparse_solution_physics,wave,pde_opt,pending,135
sparse_solution_physics,wave,pinn_sparse,pending,135
sparse_solution_physics,wave,var4d,pending,135
sparse_solution_physics,wave,vivid,pending,135
sparse_inverse,advection_diffusion,pc_bnn,skipped,135
sparse_inverse,advection_diffusion,pde_opt,skipped,135
sparse_inverse,advection_diffusion,pinn_sparse,skipped,135
sparse_inverse,advection_diffusion,var4d,skipped,135
sparse_inverse,advection_diffusion,vivid,skipped,135
sparse_inverse,burger,pc_bnn,skipped,135
sparse_inverse,burger,pde_opt,skipped,135
sparse_inverse,burger,pinn_sparse,skipped,135
sparse_inverse,burger,var4d,skipped,135
sparse_inverse,burger,vivid,skipped,135
sparse_inverse,darcy,pc_bnn,skipped,135
sparse_inverse,darcy,pde_opt,skipped,135
sparse_inverse,darcy,pinn_sparse,skipped,135
sparse_inverse,darcy,var4d,skipped,135
sparse_inverse,darcy,vivid,skipped,135
sparse_inverse,heat,pc_bnn,skipped,135
sparse_inverse,heat,pde_opt,skipped,135
sparse_inverse,heat,pinn_sparse,skipped,135
sparse_inverse,heat,var4d,skipped,135
sparse_inverse,heat,vivid,skipped,135
sparse_inverse,helmholtz,pc_bnn,skipped,135
sparse_inverse,helmholtz,pde_opt,skipped,135
sparse_inverse,helmholtz,pinn_sparse,skipped,135
sparse_inverse,helmholtz,var4d,skipped,135
sparse_inverse,helmholtz,vivid,skipped,135
sparse_inverse,nsnonbounded,pc_bnn,skipped,135
sparse_inverse,nsnonbounded,pde_opt,skipped,135
sparse_inverse,nsnonbounded,pinn_sparse,skipped,135
sparse_inverse,nsnonbounded,var4d,skipped,135
sparse_inverse,nsnonbounded,vivid,skipped,135
sparse_inverse,poisson,pc_bnn,skipped,135
sparse_inverse,poisson,pde_opt,skipped,135
sparse_inverse,poisson,pinn_sparse,skipped,135
sparse_inverse,poisson,var4d,skipped,135
sparse_inverse,poisson,vivid,skipped,135
sparse_inverse,reaction_diffusion,pc_bnn,skipped,135
sparse_inverse,reaction_diffusion,pde_opt,skipped,135
sparse_inverse,reaction_diffusion,pinn_sparse,skipped,135
sparse_inverse,reaction_diffusion,var4d,skipped,135
sparse_inverse,reaction_diffusion,vivid,skipped,135
sparse_inverse,shallow_water,pc_bnn,skipped,135
sparse_inverse,shallow_water,pde_opt,skipped,135
sparse_inverse,shallow_water,pinn_sparse,skipped,135
sparse_inverse,shallow_water,var4d,skipped,135
sparse_inverse,shallow_water,vivid,skipped,135
sparse_inverse,steady_heat_conduction,pc_bnn,skipped,135
sparse_inverse,steady_heat_conduction,pde_opt,skipped,135
sparse_inverse,steady_heat_conduction,pinn_sparse,skipped,135
sparse_inverse,steady_heat_conduction,var4d,skipped,135
sparse_inverse,steady_heat_conduction,vivid,skipped,135
sparse_inverse,wave,pc_bnn,skipped,135
sparse_inverse,wave,pde_opt,skipped,135
sparse_inverse,wave,pinn_sparse,skipped,135
sparse_inverse,wave,var4d,skipped,135
sparse_inverse,wave,vivid,skipped,135
sparse_solution_amortized,advection_diffusion,ifno,skipped,135
sparse_solution_amortized,burger,ifno,skipped,135
sparse_solution_amortized,darcy,ifno,skipped,135
sparse_solution_amortized,heat,ifno,skipped,135
sparse_solution_amortized,helmholtz,ifno,skipped,135
sparse_solution_amortized,nsnonbounded,ifno,skipped,135
sparse_solution_amortized,poisson,ifno,skipped,135
sparse_solution_amortized,reaction_diffusion,ifno,skipped,135
sparse_solution_amortized,shallow_water,ifno,skipped,135
sparse_solution_amortized,steady_heat_conduction,ifno,skipped,135
sparse_solution_amortized,wave,ifno,skipped,135
sparse_solution_physics,darcy,var4d,skipped,135
sparse_solution_physics,darcy,vivid,skipped,135
sparse_solution_physics,helmholtz,var4d,skipped,135
sparse_solution_physics,helmholtz,vivid,skipped,135
sparse_solution_physics,poisson,var4d,skipped,135
sparse_solution_physics,poisson,vivid,skipped,135
sparse_solution_physics,steady_heat_conduction,var4d,skipped,135
sparse_solution_physics,steady_heat_conduction,vivid,skipped,135
